
:diversos
antigo,história,novo,futuro|porvir
clássicos,fundação,contemporaneidade,inovação
direito,guia,obstáculo,barreira
instrumento,utilidade,mudança_social,transformação
desigualdade,desamparo,igualdade,proteção
exclusão_social,desamparo,inclusão_social,proteção_jurídica
subcidadania,opressão,cidadania_plena,liberdade
direitos_humanos,universal,leis,nacionais
direitos_humanos,proteção,terrorismo,ataque|violência|opressão
movimentos_sociais,mudança,status_quo,conservação
desigualdade,desequilíbrio,justiça_social,equilíbrio
exclusão,fechada,inclusão,aberta
subterrâneo,subcidadania,superfície,cidadania
sociedade,diversidade,interpretação_jurídica,multifacetada
vontade,direção,interpretação,orientação
lógica,racionalidade,interpretação_jurídica,coerência
problemas,obstáculos,interpretação_jurídica,soluções
questões,indagações,interpretação_jurídica,respostas
temas_contemporâneos,atualidade,interpretação_jurídica,relevância
hermenêutica_jurídica,guia,interpretação,compreensão
direito,interpretação,quebra-cabeça,encaixe
bússola,direção,interpretação,sentido
lógica,fundamento,interpretação_jurídica,decisão
integração,união,antinomias,contradições
problemas,desafios,interpretação_jurídica,superação
questões,investigação,interpretação_jurídica,esclarecimento
temas_contemporâneos,atualidade,interpretação_jurídica,debate
hermenêutica_jurídica,chave,interpretação,entendimento
interpretação_jurídica,labirinto,caminhos,saídas
vontade,propósito,interpretação,significado
processo,andamento,resultado,final
processo,meio,resultado,fim
constituição,base,árvore,raiz
princípios_constitucionais,alicerce,construção,sólido
poder_judiciário,guia,bússola,direção
justiça,engrenagens,máquina,funcionamento
jurisdição,fronteira,limite,território
ação,movimento,caminho,direção
defesa,proteção,escudo,segurança
processo,jornada,trajeto,destino
procedimento,passos,trilha,percurso
poder_judiciário,pilares,sustentação,apoio
auxiliares,suporte,colaboração,ajuda
tendências,inovação,vanguarda,modernidade
princípios,base,fundamento,essência
código,regra,norma,diretriz
código,competência,autoridade,poder
código,processo,trâmite,andamento
direito,caminho,rota,direção
constituição,base,alicerce,construção
poder_constituinte,origem,semente,crescimento
controle_constitucional,filtro,peneira,seleção
normas_constitucionais,regras,diretrizes,caminho
interpretação_constitucional,chave,segredo,entendimento
mutação_constitucional,evolução,transformação,adaptação
constitucionalismo,princípios,valores,fundamentos
reforma,ajuste,correção,aprimoramento
exercício,simulação,prática,realidade
soberania,autonomia,independência,liberdade
separação_de_poderes,equilíbrio,democracia,liberdade
direitos_fundamentais,garantias,proteção,segurança
federação,união,estados,municípios
democracia,participação,cidadania,igualdade
estado_de_direito,legalidade,justiça,ordem
jurisprudência,precedentes,decisões,interpretação
princípio_da_legalidade,obediência,normas,regras
direito_de_petição,solicitação,requerimento,demanda
teoria_da_constituição,fundamentos,doutrinas,estudos

:educação
escola,criança,universidade,jovem|adulto
escola,adolescente,universidade,jovem|adulto
pedagogia,área_de_conhecimento,paulo_freire,educador
pedagogia,campo_de_atuação,aluno,aprendiz
educação_infantil,área_de_atuação,professor,educador
aprendizado,área_de_pesquisa,projeto_político_pedagógico,curso_de_pedagogia
formação_docente,atuação_na_educação_infantil,anos_iniciais,criança
formação_docente,atuação_nos_anos_iniciais,educação_infantil,professor
formação,de_professores,docência,área_de_atuação
escola,instituição_de_ensino,docência,profissão
espaços_de_educação_não_formal,alternativas,educação_tradicional,padrão
saberes,prática_educativa,educação,escola|universidade
teorias,da_educação,tradição_clássica_pedagógica,educação_ocidental
universidade,formação,função_do_professor,educar
mestre,professor,aluno,criança
mestre,professora,aluno,estudante
mestra,professora,aluna,estudante
mestres,professores,alunos,jovens
mestras,professoras,alunos,estudantes
educador,mestre,aluna,criança
educadores,mestres,alunas,crianças
educadora,mestra,aluna,jovem
educadoras,mestras,alunas,estudantes
paideia,educação,ensinar,profissão
formação,objetivo,ensino,método
perspectiva_teórica,saber,instituição_escolar,área_de_atuação
livro_didático,material_de_ensino,caderno_escolar,dever_de_casa|tarefa_de_casa
educação_na_primeira_república,escola_nova,educação_na_era_vargas,reformas_educacionais|nacionalismo
educação_no_período_1946-1964,redemocratizaçãodesenvolvimentismo,educação_na_ditadura_civil-militar,repressão

:socio econômico
adam_smith,liberalismo,hans_morgenthau,realismo
adam_smith,liberalismo,marx,comunismo|socialismo
john_locke,liberalismo,john_herz,realismo
david_ricardo,liberalismo,lenin,marxismo
celso_furtado,brasil,george_arthur_akerlof,estados_unidos
maria_da_conceição_de_almeida_tavares,brasil,phillip_cagan,estados_unidos
fernando_haddad,brasil,paul_anthony_samuelson,estados_unidos|estados_unidos_da_américa|eua
celso_furtado,brasileiro,george_arthur_akerlof,estadunidense
maria_da_conceição_de_almeida_tavares,brasileira,phillip_cagan,estadunidense
fernando_haddad,brasileiro,paul_anthony_samuelson,estadunidense
nafta,estados_unidos_da_américa,mercosul,brasil|paraguai|uruguai|argentina
nafta,estados_unidos,mercosul,brasil|paraguai|uruguai|argentina
nafta,eua,mercosul,brasil|paraguai|uruguai|argentina
nafta,méxico,mercosul,brasil|paraguai|uruguai|argentina
nafta,canadá,mercosul,brasil|paraguai|uruguai|argentina
nafta,estados_unidos,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,estados_unidos_da_américa,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,eua,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,méxico,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,canadá,brics,brasil|rússia|china|índia|áfrica_do_sul
mercosul,brasil,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,paraguai,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,argentina,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,brasil,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
mercosul,paraguai,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
mercosul,argentina,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
tigres_asiáticos,hong_kong,g7,canadá|estados__unidos|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,cingapura,g7,canadá|estados_unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,coreia_do_sul,g7,canadá|estados__unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,taiwan,g7,canadá|estados_unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
brics,brasil,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,rússia,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,china,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,índia,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,áfrica_do_sul,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan

:exatas
python,alto,assembly,baixo
c,compilador,python,interpretador
automação,robô,controle,programação
robô,programação,controle,automação
controle,automação,inteligência_artificial,programação
controle,automação,ia,programação
indústria,processo,automação,robô
programa,execução,erro,depuração
algoritmo,pseudocódigo,linguagem_de_programação,código
objeto,instanciar,método,chamar
variável,valor,referência,ponteiro
função,chamada,valor,retorno
função,chamar,valor,retornar
sensor,detecção,atuador,ação
programação,instruções,execução,tarefas
software,computador,esteira,indústria
software,mente,hardware,corpo
iot,dispositivos,internet,computadores
pandas,dados,nltk,pln|processamento_de_linguagem_natural
pandas,dados,spacy,pln|processamento_de_linguagem_natural
c,procedural,java,objetos
c,compilar,python,interpretar
sistema_operacional,computador,scada,indústria
ram,temporário,disco_rígido,permanente
ram,temporário,hd,permanente
ram,temporário,ssd,permanente
ram,temporário,estado_sólido,permanente
cpu,processador,ram,memória
interface_usuário,computador,ihm,scada
antivírus,malware,firewall,invasão
variável,valor,dicionário,mapa
funções,bloco,classe,modelo_de_objeto
compilador,tradução,interpretador,execução
alto_nível,humano,linguagem_de_máquina,hardware
alto,humando,baixo,máquina
indústria,sensor,dado,análise
saída,retorno,entrada,parâmetro|argumento
saída,retorno,entrada,parâmetros|argumentos
programa,biblioteca,módulo,funções
código,compilador,programa,execução
memória,cache,armazenamento,buffer
loop,repetir,condição,restringir
pseudocódigo,diagrama,código,programa
objeto,instância,variável,valor
indústria,produção,eficiência,otimização
derivada,variação,integral,acúmulo|acumulação|soma
derivada,tangente,integral,área
primeira,inclinação,segunda,concavidade
integral_simples,área,integral_dupla,volume
simples,área,dupla,volume
máximo,derivada_zero,inflexão,concavidade
mínimo,derivada_zero,inflexão,concavidade
limite,aproximação,derivada,variação
limite,aproximação,integral,acúmulo_acumulação
série,taylor,transformada,fourier|laplace
séries,taylor,transformada,fourier|laplace
série,fourier,transformada,laplace
séries,fourier,transformada,laplace
derivada,tangente,normal,perpendicular
área,curvas,limites,regiões
área,curva,limite,região
derivada,diferencial,incremento,variação
vetor,reto,senoide,curva
reta,vetor,curva,senoide|sinusoide
álgebra,matrizes,cálculo,funções|fórmulas
domínio,abscissas,imagem,ordenadas
cálculo,números,texto,palavras
substituição,substituir,variável,variar
substituição,mudança,variável,variação
evolução,darwin,cálculo,leibniz|newton
física_clássica,newton,física_quântica,schredinger|planck
clássica,newton,quântica,schredinger|planck
pai,filho,planck,física_quântica|física|quântica
quark,átomo,átomo,substância|matéria
laser,luz,radiação,onda
laser,luz,onda,radiação
fóton,luz,vibração,som
potencial,gravidade,cinética,movimento|velocidade
potencial,tensão,fluxo,corrente
massa,inércia,carga,força_eletromotriz|eletromotriz
aceleração,força,campo_elétrico,potencial_elétrico
aceleração,força,campo,potencial
massa,gravidade,corpo,força
pressão,força,corrente,tensão
impulso,momento,tensão,carga
condutividade,material,capacitância,capacitor
resistência,resistor,capacitância,capacitor
condutividade,material,indutância,indutor
capacitância,capacitor,indutância,indutor
resistência,resistor,indutância,indutor
velocidade_angular,rotação,campo_magnético,fluxo|imã
angular,rotação,magnético,fluxo|imã
calor,energia_térmica,trabalho,energia_mecânica
calor,térmica,trabalho,mecânica
refração,direção,difração,espalhamento
ohm,resistor,coulomb,carga_elétrica|elétron
incerteza,quântica,determinismo,clássica
incerteza,mecânica_quântica,determinismo,macânica_clássica
einstein,relatividade,newton,leis_de_newton|leis
superposição,combinação_de_estados,entrelaçamento,correlação_instantânea
túnel_quântico,barreiras_de_potencial,teletransporte,estado_quântico
pandora,consequência,schredinger,paradoxo_quântico|incerteza
lente,foco,espelho,imagem
reflexão,espelho_plano,refração,prisma
reflexão,plano,refração,prisma
refração,velocidade,densidade,absorção
difração,abertura,interferência,franjas
fóton,quanta,elétron,carga
fibra_ótica,luz,fio,eletricidade
holografia,tridimensional,fotografia,bidimensional
massa,partícula,frequência,onda
luz,relatividade,massa,matéria
big_bang,origem,radiação_de_fundo,eco
buraco_negro,singularidade,nêutrons,colapso
matéria_escura,invisível,energia_escura,expansão
matéria,invisível,energia,expansão
anã_branca,pequena,supernova,grande
lente_gravitacional,curvatura_da_luz,efeito_doppler,movimento
lente_gravitacional,curvatura,efeito_doppler,movimento
astrofísica,física,cosmologia,estrutura|história
velocidade,deslocamento,aceleração,velocidade
resistor,ohm,indutor,weber
resistor,ohm,capacitor,farad
resistor,ohm,campo_magnético,tesla
atrito,resistência,deslizamento,rolamento
impulso,força,atrito,resistência
próton,núcleo,elétron,nuvem
nêutron,núcleo,elétron,nuvem
elétrons,negativo,prótons,positivo
elétrons,negativa,prótons,positiva
média,intervalo,instantânea,instante
cinética,energia,atrito,resistência

:educação física
futebol,pernas,handebol,mãos
corrida,correr,caminhada,caminhar
salto,altura,musculação,peso
marcha,marchar,dança,dançar
atletismo,atleta,natação,nadador
ginástica,ginasta,futebol,futebolista
vôlei,rede,basquete,cesta
futebol,campo,vôlei,quadra
ensino,ensinar,jogo,jogar
campo,jogador,casamata,técnico
ataque,ofensivo,defesa,defensivo
natação,braçada,badminton,peteca_volante
transição,rápida,marcação,forte
drible,habilidade,chute,precisão
zagueiro,defesa,centroavante,ataque
juiz,árbitro,técnico,professor
atacante,gol,goleiro,defesa
passe,preciso,contra-ataque,veloz
sistemas_defensivos,bloqueio,marcação,pesada
história,tradição,momento,importante
ensino,teoria,prática,execução
uniforme,oficial,treino,colete
olimpíada,países,campeonato,nacional
olimpíada,países,campeonato,mundial
exercício,saúde,sedentarismo,doença
fundamentos,básicos,técnica,treino
crescimento,desenvolvimento,entrosamento,treinamento
desenvolvimento,cognitivo,coordenação,motora
corpo,somático,mente,cognição
maturação_biológica,crescimento,idade,adulta
pesquisa,fonte,trabalho,normatização
trabalho_científico,estrutura,metodologia,rigor
osteologia,osso,articulação,junção
osteologia,ossos,articulação,junções
miologia,músculo,movimento,contração
alongamento,flexibilidade,musculação,hipertrofia
sistema_respiratório,pulmão,sistema_circulatório,veias|sangue|coração|circulação
sistema_respiratório,pulmão,sistema_cardiovascular,veias|sangue|coração|circulação
sistema_circulatório,coração,circulação,sangue
sistema_nervoso,cérebro,neurônio,célula
corrida,sprint,aceleração,resistência
maratona,resistência,treino,persistência
golfe,taco,tênis,raquete
olimpiada,competição,medalha,trofeu
ginástica,precisão,agilidade,controle
capacidade_motora,coordenação,equilíbrio,força
exercício,aquecimento,progressão,sequência
supervisão,observação,prática,ensino
futebol,chuteira,basquete,tênis_de_basquete
formação,estratégia,drible,habilidade
lançamento,ataque,corte,defesa
esquema_tático,técnico,posição,jogador
falta,cartão,agressão,expulsão
vôlei,saque,futebol,tiro_de_meta
defesa,bloqueio,enterrar,cesta
pelé,brasil,maradona,argentina
neymar,brasil,messi,argentina
brizard,frança,giba,brasil
lebron_james,basquete,pelé,futebol
michael_jordan,basquete,garrincha,futebol
magic_johnson,basquete,rafael_nadal,tênis
jordan,basquete,pelé,futebol
jordan,basquete,maradona,futebol

:biológicas
lineu,taxonomia,darwin,evolução
ecologia,ambiente,zoologia,animal|animais
tecido,célula,sistema,órgão
aranhas,artrópodes,iguanas,cordados
aranha,artrópode,iguana,cordado
esponjas,poríferos,cnidários,corais
platelmintos,solitárias,nematoda,lombrigas
platelminto,solitária,nematódeo,lombriga
moluscos,mexilhões,anelídeos,minhocas
molusco,mexilhão,anelídeo,minhoca
artrópodes,crustáceos,equinodermes,ouriços
artrópode,crustáceo,equinodermo,ouriço
equinodermo,estrela-do-mar,artrópode,aracnídeo
equinodermes,estrela-do-mar,artrópodes,aracnídeos
anelídeo,sanguessuga,molusco,ostra
anelídeos,sanguessugas,moluscos,ostras
hemicordados,balanoglosso,urocordados,ascídias
esponja,porífero,cnidário,coral
hemicordado,balanoglossus,urocordado,ascídia
vertebrados,mamíferos,cefalocordados,anfioxo
adaptação,característica,evolução,seleção
homologia,evolução,analogia,função
origem,comum,seleção,evolução
seleção_natural,sobrevivência,variação,aptidão
seleção,sobrevivência,variação,aptidão
fator_biótico,vida,ecossistema,equilíbrio
fatores_bióticos,vida,ecossistema,equilíbrio
fatores_abióticos,sistema_terrestre,água,hidrosfera
fator_abiótico,sistema_terrestre,água,hidrosfera
biótico,animal,abiótico,água
biótico,vegetal,abiótico,gases
biótico,bactéria,abiótico,radiação
evolução,teoria,biologia,ciência
campo,observação,dado,coleta
pinophyta,coníferas,cycadophyta,cicadáceas
pteridospermatófitas,samambaias,ginkgophyta,ginkgo_biloba
pteridospermatophyta,samambaias,ginkgophyta,ginkgo_biloba
gnetophyta,acrogimnospérmicas,magnoliophyta,angiosperma
ambiente,organismo,nicho,ocupação
estratégia,adaptação,sobrevivência,reprodução
meio_ambiente,destruição,impacto,antrópico
educação_ambiental,conscientização,prática,ecologista
prática_pedagógica,ensino,professor,aprendizado
prática_pedagógica,ensino,professora,aprendizado
reflexão,teoria,ensino,prática
ordem,família,gênero,espécie
reino,filo,classe,ordem
bacteria,archea,protista,fungi|plantae|animalia
reino_bacteriano,reino_archea,reino_protista,reino_fungi|reino_plantae|reino_animalia
peixes,anfíbios,répteis,aves|mamíferos|cordados|animais
filogenia,evolução,ecologia,meio_ambiente|seres_vivos
cladística,método,árvore,filogenética
unidade,taxonômica,classificação,científica
espécie,subespécie,raça,estirpe
estirpe,raça,subespécie,espécie
taxonomia,identificação,classificação,nomenclatura
árvore_filogenética,ancestral,clado,ramificação
característica,fenótipo,marcador,genótipo
chave_dicotômica,identificação,espécie,característica
biodiversidade,diversidade,ecossistema,riqueza
alimentação,hábito,carnívoro,omnívoro|herbívoro|onívero
alimentação,substrato,carnívoro,omnívoro|herbívoro|onívero
carnívoro,carne,herbívoro,planta
habitat,nicho,ambiente,equilíbrio
lêmure,endêmico,pardal,cosmopolita
espécie_endêmica,invasora,nativa,ameaçada
mutualismo,parasitismo,comensalismo,competição|predação|amensalismo|neutralismo|protocooperação|simbiose|herbivorismo|facilitação|parasitoidismo
evolução,ancestral,adaptação,seleção
evolução,ancestral,estrutura,comum
inseto,ser_vivo,glândula,órgão
mamífero,animal,pele,tecido
química_orgânica,disciplina,darwin,cientista
evolução,teoria,criacionismo,pseudociência
célula,estrutura,olho,visão
acadêmico,laboratório,digestivo,sistema
dna_rna,ácido_nucleico,universidade,pública
borboleta,inseto,baleia,ser_vivo
krebs,ciclo,oxidação,química
dia,claro,noite,escuro
leão,selva,urso,floresta
lagoa,doce,mar,salgada
rio,doce,mar,salgada
folha,árvore,onda,mar|oceano
flor,jardim,árvore,floresta
planta,verde,céu,azul
sol,dia,lua,noite
flor,primavera,neve,inverno
calor,fogo,frio,gelo
frio,inverno,calor,verão
cidade,urbano,campo,rural
noite,lua,dia,sol
oceano,água,deserto,areia
rápido,lebre,lento,tartaruga
alto,montanha,baixo,vale
peixe,água,pássaro,céu
vegetação_ripária,rio,vegetação_litorânea,mar
ripária,rio,litorânea,mar
corrente,rio,maré,mar
gato,pelo,peixe,escama
galinha,bico,cachorro,boca
pássaro,pena,cachorro,pelo
sapo,anfíbio,macaco,mamífero
cobra,réptil,aranha,aracnídeo
homem,sapiens,cachorro,familiaris
cachorro,familiaris,gato,catus
gato,catus,leão,leo
leão,leo,tigre,tigris
tigre,tigri,onça,onca
conífera,temperado,palmeira,tropical
coração,amor,cérebro,pensamento
feliz,alegria,triste,tristeza
tristeza,lágrima,felicidade,sorriso
cego,escuro,surdo,silêncio
pé,perna,mão,braço
olho,cabeça,umbigo,barriga
olho,chorar,boca,salivar
intestino,digestivo,pulmão,respiratório
veia,vascular,glândula,endócrino
cérebro,neurônio,pele,queratinócitos
virilha,pelos,couro_cabeludo,cabelos
cabeludo,careca,vestido,pelado|despido
cabeludo,calvo,vestido,despido|pelado
braço,cotovelo,perna,joelho
osso,cálcio,músculo,proteína
estômago,suco,pâncreas,bílis
olho,ver,ouvido,ouvir
boca,paladar,nariz,olfato
nariz,olfato,olho,visão
pele,tato,boca,paladar
dente,branco,sangue,vermelho
superiores,braços,inferiores,pernas

:nutrição
chocolate,doce,limão,azedo
fome,comida,sede,água|bebida
doce,mel,amargo,café
doce,açúcar,salgado,sal
almoço,dia,janta,noite
suco,fruta,chá,erva
café,quente,sorvete,gelado
carne,proteína,leite,cálcio
vegetal,verde,carne,vermelha
frango,branca,gado,vermelha
frito,óleo,cozido,água

:agronomia
animalia,equinodermos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,peixes,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,cnidários,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,anfíbios,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,platelmintos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,crustáceos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,répteis,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,aracnídeos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,aves,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,moluscos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,insetos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,anelídeos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,mamíferos,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
animalia,equinodermos,fungi,ascomicetos|basidiomicetos
animalia,peixeis,fungi,ascomicetos|basidiomicetos
animalia,cnidários,fungi,ascomicetos|basidiomicetos
animalia,anfíbios,fungi,ascomicetos|basidiomicetos
animalia,platelmintos,fungi,ascomicetos|basidiomicetos
animalia,crustáceos,fungi,ascomicetos|basidiomicetos
animalia,répteis,fungi,ascomicetos|basidiomicetos
animalia,aracnídeos,fungi,ascomicetos|basidiomicetos
animalia,aves,fungi,ascomicetos|basidiomicetos
animalia,moluscos,fungi,ascomicetos|basidiomicetos
animalia,insetos,fungi,ascomicetos|basidiomicetos
animalia,anelídeos,fungi,ascomicetos|basidiomicetos
animalia,mamíferos,fungi,ascomicetos|basidiomicetos
animalia,equinodermons,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,peixeis,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,cnidários,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,anfíbios,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,platelmintos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,crustáceos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,répteis,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,aracnídeos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,aves,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,moluscos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,insetos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,anelídeos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,mamíferos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
animalia,equinodermos,monera,arqueobactérias|eubactérias|bactérias
animalia,peixes,monera,arqueobactérias|eubactérias|bactérias
animalia,cnidários,monera,arqueobactérias|eubactérias|bactérias
animalia,anfíbios,monera,arqueobactérias|eubactérias|bactérias
animalia,platelmintos,monera,arqueobactérias|eubactérias|bactérias
animalia,crustáceos,monera,arqueobactérias|eubactérias|bactérias
animalia,répteis,monera,arqueobactérias|eubactérias|bactérias
animalia,aracnídeos,monera,arqueobactérias|eubactérias|bactérias
animalia,aves,monera,arqueobactérias|eubactérias|bactérias
animalia,moluscos,monera,arqueobactérias|eubactérias|bactérias
animalia,insetos,monera,arqueobactérias|eubactérias|bactérias
animalia,anelídeos,monera,arqueobactérias|eubactérias|bactérias
animalia,mamíferos,monera,arqueobactérias|eubactérias|bactérias
plantae,equisetales,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,licopódios,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,gimnospermas,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,angiospermas,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,samambaias,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,musgos,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
plantae,equisetales,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,licopódios,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,gimnospermas,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,angiospermas,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,samambaias,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,musgos,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
plantae,equisetales,fungi,ascomicetos|basidiomicetos
plantae,licopódios,fungi,ascomicetos|basidiomicetos
plantae,gimnospermas,fungi,ascomicetos|basidiomicetos
plantae,angiospermas,fungi,ascomicetos|basidiomicetos
plantae,samambaias,fungi,ascomicetos|basidiomicetos
plantae,musgos,fungi,ascomicetos|basidiomicetos
monera,arqueobactérias,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
monera,eubacterias,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
monera,bactérias,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
monera,arqueobactériaseubactériasbactérias,fungi,ascomicetos|basidiomicetos
monera,eubactérias,fungi,ascomicetos|basidiomicetos
monera,bactérias,fungi,ascomicetos|basidiomicetos
monera,arqueobactérias,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
monera,eubactérias,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
monera,bactérias,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
monera,arqueobactérias,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
monera,eubacterias,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
monera,bactérias,protista,protozoários|protozoários_flagelados|protozoários_amebóides|algas_vermelhas|algas_verdes|algas_pardas
protista,protozoários,monera,arqueobactérias|eubactérias|bactérias
protista,protozoários_flagelados,monera,arqueobactérias|eubactérias|bactérias
protista,protozoários_amebóides,monera,arqueobactérias|eubactérias|bactérias
protista,algas_vermelhas,monera,arqueobactérias|eubactérias|bactérias
protista,algas_verdes,monera,arqueobactérias|eubactérias|bactérias
protista,algas_pardas,monera,arqueobactérias|eubactérias|bactérias
protista,protozoários,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,protozoários_flagelados,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,protozoários_amebóides,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,algas_vermelhas,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,algas_verdes,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,alagas_pardas,plantae,equisetales|licopódios|gimnospermas|angiospermas|samambaias|musgos
protista,protozoários,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
